Mods count: 167
 
                                     jar name                                       |    notes     |             mod id             |                    mod name                     |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
configuration-forge-1.20.1-3.1.0.jar                                                |              | configuration                  | Configuration                                   | 3.1.0                        | configuration.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8757a9f1d47f48463765d1d202cdadc41c84f6b0 | 3130708032     
Controlling-forge-1.20.1-12.0.2.jar                                                 |              | controlling                    | Controlling                                     | 12.0.2                       | controlling.mixins.json, controlling.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                       | f6d3cdd3ec68c5590cf5b2e89c38dbf031824bfd | 2144346557     
cookingforblockheads-forge-1.20.1-16.0.15.jar                                       |              | cookingforblockheads           | CookingForBlockheads                            | 16.0.15                      | cookingforblockheads.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | d8b64df5572bbc05e8adcb1c999639cfb7120438 | 2678999018     
craftingstation-1.20.1-1.4.0.jar                                                    |              | craftingstation                | Crafting Station Improved                       | 1.20.1-1.4.0                 | craftingstation.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | f439fee029a5659957aebf1cd6a850fdc0bd81ba | 1653929928     
craftingtweaks-forge-1.20.1-18.2.9.jar                                              |              | craftingtweaks                 | CraftingTweaks                                  | 18.2.9                       | craftingtweaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 8f7a85056a753ffb9e9f178d32ccbcce44a29e63 | 1846779623     
CrashAssistant-forge-1.19-1.20.1-1.11.9.jar                                         |              | crash_assistant                | Crash Assistant                                 | 1.11.9                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e94c49268c83301ee066dca9501c4b5fa902b33d | 289595968      
    /META-INF/jarjar/app.jar                                                        |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/crash_assistant-forge.jar                                      |              | crash_assistant                | Crash Assistant                                 | 1.11.9                       | crash_assistant.mixins.json, crash_assistant-forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
create-1.20.1-6.0.8.jar                                                             |              | create                         | Create                                          | 6.0.8                        | create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | b13d912b9247a38d66d11598c121442585a1c1e9 | 2156032012     
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                                 |              | ponder                         | Ponder                                          | 1.0.91                       | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                    |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar                                |              | flywheel                       | Flywheel                                        | 1.0.5                        | flywheel.impl.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                          |                
create_enchantment_industry-1.3.3-for-create-6.0.6.jar                              |              | create_enchantment_industry    | Create Enchantment Industry                     | 1.3.3-for-create-6.0.6       | create_enchantment_industry.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 06fbad254100a7c9fcf829e1e33c5348d9799a87 | 2699166003     
createaddition-1.20.1-1.3.3.jar                                                     |              | createaddition                 | Create Crafts & Additions                       | 1.20.1-1.3.3                 | createaddition.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | c7d464c451fdc2979bc29a67d7eec2a30858af12 | 3687173912     
createbigcannons-5.11.3-mc.1.20.1-forge.jar                                         |              | createbigcannons               | Create Big Cannons                              | 5.11.3                       | createbigcannons.mixins.json, createbigcannons-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                            | 5307739c4e9374ef4bb91cf139ba098b72abbbf8 | 3470013451     
createdeco-2.0.3-1.20.1-forge.jar                                                   |              | createdeco                     | Create Deco                                     | 2.0.3-1.20.1-forge           | createdeco-common.mixins.json, createdeco.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                        | 54c8ad5686b846310bca9e69982a455e668dede3 | 1368200461     
cristellib-1.1.6-forge.jar                                                          |              | cristellib                     | Cristel Lib                                     | 1.1.6                        | cristellib.mixins.json, cristellib-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                        | 524ecf0f93f28be2f5db21d87dd81bdbc1a450e1 | 3580663282     
    /META-INF/jars/jankson-1.2.3.jar                                                |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
Cucumber-1.20.1-7.0.16.jar                                                          |              | cucumber                       | Cucumber Library                                | 7.0.16                       | cucumber.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 88a9ec30e4acb5c80a3ae060ad70b79e945293c6 | 1548502984     
curios-forge-5.14.1+1.20.1.jar                                                      |              | curios                         | Curios API                                      | 5.14.1+1.20.1                | curios.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 452175b95ad3db6ff58bb8968f6bf7a9d1e0f480 | 1288931317     
defaultoptions-forge-1.20.1-18.0.4.jar                                              |              | defaultoptions                 | Default Options                                 | 18.0.4                       | defaultoptions.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 37ef64d3ae7fda292c882ee949a0280bf6c7f033 | 3843138404     
delightlib-26.05.18-1.20-forge.jar                                                  |              | delightlib                     | Delight Lib                                     | 26.05.18-1.20-forge          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 76dadc17034ef4603f9ffb433dc01c5f770aa59d | 311085764      
embeddium-0.3.31+mc1.20.1.jar                                                       |              | embeddium                      | Embeddium                                       | 0.3.31+mc1.20.1              | embeddium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | bb2fa8f3e493af16af9160d049f96c614a1faf2f | 4281946638     
Emojiful-Forge-1.20.1-4.2.0.jar                                                     |              | emojiful                       | Emojiful                                        | 4.2.0                        | emojiful.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 3a715b0c8e9244a0d6aace3e3d2f863a62ddc3bc | 847566940      
EnderIO-1.20.1-6.2.18-beta-all.jar                                                  |              | enderio                        | Ender IO                                        | 6.2.18-beta                  | mixins.enderio.json, mixins.enderio-machines.json, mixins.enderio-machines.refmap.json, mixins.enderio.refmap.json                                                                                                                                                                                                                                                                                                                                                                           | 33587f98f2d96507de0e9d2f57f5ab35328ace7d | 643940021      
    /META-INF/jarjar/GraphLib3-3.0.7.jar                                            |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/checker-qual-3.33.0.jar                                        |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/error_prone_annotations-2.18.0.jar                             |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/failureaccess-1.0.1.jar                                        |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
